[     412ms] [TIMESTAMP] SegmentViewNode @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     412ms] [TIMESTAMP] SegmentTrieNode @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     412ms] [TIMESTAMP] ClientPageRoot @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] LoginPage @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] Web3Providers @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] WagmiProvider @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] Hydrate @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] LoginPageContent @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] DeskSurface @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] GlassCard @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] Slot.Slot @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] LegalRiskNotice @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] AppIcon @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] ShieldCheck @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] ForwardRef @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] ForwardRef(DeskButton) @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] LinkComponent @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] LinkComponent @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] AppIcon @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] KeyRound @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] ForwardRef @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] __next_outlet_boundary__ @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] SegmentViewStateNode @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] SegmentViewStateNode @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] AppRouterAnnouncer @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     413ms] [TIMESTAMP] AppRouterAnnouncer @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2874
[     413ms] [TIMESTAMP] Remaining Effects @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:10005
[     414ms] [TIMESTAMP] Blocking Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
